label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2	fold
BFB	0.2880496084690094	1.0	representative	none	2	9	10	7	0.7777777777777778	0.7	0.7368421052631577	0.7608695652173914	SNU703
seismic_amplification	0.6119287014007568	0.67	representative	none	2	5	4	3	0.6	0.75	0.6666666666666665	0.625	SNU703
ecDNA	0.4856431782245636	0.67	representative	none	2	5	5	3	0.6	0.6	0.6	0.6	SNU778
chromothripsis	0.6518392562866211	0.67	representative	none	1	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703	SNU778
BFB	0.7057955265045166	0.67	representative	none	2	10	6	5	0.5	0.8333333333333334	0.625	0.5434782608695652	SNU778
seismic_amplification	0.8858485817909241	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU778
ecDNA	0.5045630931854248	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SNU902
chromothripsis	0.6546570658683777	0.67	representative	none	1	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	SNU902
BFB	0.3455687463283539	1.0	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	SNU902
seismic_amplification	0.8921543955802917	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SNU902
ecDNA	0.5160508751869202	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	SUIT
chromothripsis	0.6083438396453857	0.67	representative	none	4	7	10	3	0.4285714285714285	0.3	0.3529411764705882	0.3947368421052631	SUIT
BFB	0.2305960357189178	0.67	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	SUIT
seismic_amplification	0.7773845195770264	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	SUIT
ecDNA	0.4565061032772064	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	ScaBER
chromothripsis	0.7371640205383301	0.67	representative	none	2	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703	ScaBER
BFB	0.2618427276611328	1.0	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	ScaBER
seismic_amplification	0.7246264815330505	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	ScaBER
ecDNA	0.5026589035987854	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	ZR7530
chromothripsis	0.6468291282653809	0.67	representative	none	4	6	7	4	0.6666666666666666	0.5714285714285714	0.6153846153846153	0.6451612903225806	ZR7530
BFB	0.2950685620307922	1.0	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	ZR7530
seismic_amplification	0.7093020677566528	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	ZR7530
