label	quantile	threshold	calls	predictions	true_predictions	recall	precision	f1	f2
seismic_amplification	0.935	0.44212564900517487	17	89	13	0.7647058823529411	0.14606741573033707	0.2452830188679245	0.41401273885350315
seismic_amplification	0.9400000000000001	0.452171939611435	17	82	13	0.7647058823529411	0.15853658536585366	0.26262626262626265	0.43333333333333335
seismic_amplification	0.9450000000000001	0.463886296749115	17	75	13	0.7647058823529411	0.17333333333333334	0.2826086956521739	0.45454545454545453
seismic_amplification	0.95	0.4751984551548958	17	68	13	0.7647058823529411	0.19117647058823528	0.3058823529411765	0.4779411764705882
seismic_amplification	0.955	0.4852788358926772	17	61	13	0.7647058823529411	0.21311475409836064	0.3333333333333333	0.503875968992248
seismic_amplification	0.96	0.4989353358745575	17	55	13	0.7647058823529411	0.23636363636363636	0.3611111111111111	0.5284552845528455
seismic_amplification	0.965	0.5185430139303209	17	48	13	0.7647058823529411	0.2708333333333333	0.39999999999999997	0.5603448275862069
seismic_amplification	0.97	0.5479030311107633	17	41	12	0.7058823529411765	0.2926829268292683	0.41379310344827586	0.5504587155963303
seismic_amplification	0.975	0.5987535044550896	17	34	12	0.7058823529411765	0.35294117647058826	0.4705882352941177	0.5882352941176472
seismic_amplification	0.98	0.6756773710250842	17	28	11	0.6470588235294118	0.39285714285714285	0.4888888888888888	0.5729166666666666
seismic_amplification	0.985	0.7287445545196528	17	21	11	0.6470588235294118	0.5238095238095238	0.5789473684210527	0.6179775280898877
seismic_amplification	0.99	0.7566786020994193	17	14	10	0.5882352941176471	0.7142857142857143	0.6451612903225806	0.6097560975609756
seismic_amplification	0.992	0.7957619214057949	17	11	8	0.47058823529411764	0.7272727272727273	0.5714285714285714	0.5063291139240507
seismic_amplification	0.994	0.8378438323736179	17	9	7	0.4117647058823529	0.7777777777777778	0.5384615384615384	0.45454545454545453
seismic_amplification	0.996	0.8876898741722103	17	6	5	0.29411764705882354	0.8333333333333334	0.4347826086956522	0.3378378378378379
seismic_amplification	0.998	0.902152061462402	17	3	2	0.11764705882352941	0.6666666666666666	0.2	0.1408450704225352
seismic_amplification	0.999	0.9122260352969168	17	2	1	0.058823529411764705	0.5	0.10526315789473684	0.07142857142857144
